Id,Price
4567,159847.61011971018
5925,122897.12299281426
960,162865.98825769953
3848,145490.9055282893
746,194746.4097705952
868,362747.2452434894
672,126790.21045791556
2471,194245.342580065
4510,131999.74257338647
8354,254577.77490271276
6393,162559.8408686773
13270,239597.18552622353
5250,322947.0262101523
16751,160881.7501891663
11404,130337.86098704686
10588,290010.27750666573
14925,205419.21167004624
6791,212892.02720849233
16097,185965.75553181904
16428,381838.1788491886
6945,320896.4233744993
3190,200667.65627076742
15709,344240.2011789218
13155,151284.8537846545
7675,206830.8228521868
14686,230076.78342058364
609,185217.70062344577
11155,165597.12731611988
10869,207466.75351042455
15742,189200.4098851139
9245,192508.22829970357
3340,189084.65324408672
2359,265499.4402863524
8070,198103.7675999909
13707,133170.73925147977
16079,276140.4134427829
15937,315590.7463423306
14090,173851.93391800922
9008,209509.1721423788
16384,164654.38886421005
11657,241729.5694839638
13151,181072.3536410836
8990,175537.13102011482
11857,190951.40072457647
1565,169472.90111889757
8174,108235.54932885646
9247,249921.45787698484
10478,216032.73096421972
15509,153777.15464121106
8306,231188.92013525695
6642,186293.85359243266
7472,206423.9865852272
15989,136756.51517090556
13682,148130.95437200257
163,235650.23284341162
7076,191387.91123550225
7478,311150.9603671187
3029,178924.61072541366
1814,143515.60837939265
10057,121329.42833620802
15100,200936.74604147475
12694,224834.88790875452
6291,173511.61586248555
12603,220490.5664612257
3218,209820.74352434112
13456,126682.07751640119
10170,220693.56539629333
4530,194372.2495783752
13329,185387.55078643287
4820,163779.35336697788
10896,190083.14712277948
13416,126257.19973509396
2701,225267.13115484436
11265,346008.6658721143
9189,273140.30655174784
1858,169241.12906372725
14536,231161.0777787832
6199,336893.8279001272
14730,160195.49824258234
7510,241532.3100497401
15505,174633.89853471593
7446,169743.71159655947
14016,205419.04247703007
14113,118868.45964888716
8721,320103.89896857797
6193,345762.6940399415
5717,191510.9470829763
5427,275385.39661620784
9520,408679.6770899842
6869,118078.75759947678
1658,162872.0398450796
6639,223514.87098394116
6283,191726.28117312075
6257,126970.36573110994
